OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,DiscountPercent,Channel,Country
O000081,2024-01-06,C00701,P009,1,50.08,0.05,Mobile app,UK
O000082,2024-01-06,C00569,P036,4,24.09,0.0,Mobile app,DE
O000083,2024-01-06,C01538,P008,3,43.25,0.15,Mobile app,UK
O000084,2024-01-06,C00881,P024,1,45.0,0.0,Website,DE
O000085,2024-01-06,C01338,P004,2,49.55,0.05,Mobile app,UK
O000086,2024-01-06,C01359,P027,1,74.46,0.0,Amazon,ES
O000087,2024-01-06,C01335,P026,1,76.08,0.0,Website,UK
O000088,2024-01-06,C01020,P006,1,47.94,0.1,Amazon,DE
O000089,2024-01-07,C01388,P001,1,60.13,0.0,Mobile app,DE
O000090,2024-01-07,C01883,P011,3,56.96,0.05,Mobile app,FR
O000091,2024-01-07,C01754,P045,2,29.93,0.15,Mobile app,UK
O000092,2024-01-07,C00056,P028,2,64.95,0.0,Website,UK
O000093,2024-01-07,C01565,P029,4,36.44,0.15,Website,UK
O000094,2024-01-07,C01088,P045,3,30.02,0.1,eBay,DE
O000095,2024-01-07,C00155,P013,1,60.1,0.1,Website,UK
O000096,2024-01-07,C00039,P021,2,40.31,0.0,Website,FR
O000097,2024-01-07,C00679,P011,4,55.12,0.05,Website,IT
O000098,2024-01-07,C01667,P011,1,57.18,0.15,Mobile app,IT
O000099,2024-01-07,C01135,P033,1,16.74,0.05,Mobile app,UK
O000100,2024-01-07,C00953,P025,1,49.84,0.1,Amazon,DE
O000101,2024-01-07,C01242,P027,1,73.37,0.1,Website,DE
O000102,2024-01-07,C00351,P008,1,40.94,0.0,Amazon,UK
O000103,2024-01-07,C01261,P033,1,16.73,0.0,Website,ES
O000104,2024-01-07,C00496,P009,2,53.3,0.1,Website,IT
O000105,2024-01-07,C01074,P045,2,30.38,0.05,Website,IT
O000106,2024-01-07,C00663,P012,1,47.36,0.0,Mobile app,UK
O000107,2024-01-07,C01071,P009,4,49.12,0.0,Website,DE
O000108,2024-01-07,C00072,P009,1,51.2,0.0,Website,UK
O000109,2024-01-07,C00045,P035,2,14.24,0.0,Website,FR
O000110,2024-01-07,C00144,P025,3,47.49,0.1,Website,IT
O000111,2024-01-07,C01761,P019,1,40.03,0.15,Mobile app,UK
O000112,2024-01-07,C00206,P011,1,53.95,0.0,Website,UK
O000113,2024-01-07,C00800,P017,1,40.46,0.05,Mobile app,ES
O000114,2024-01-07,C01796,P005,1,62.56,0.0,eBay,NL
O000115,2024-01-07,C01932,P040,1,15.43,0.0,eBay,DE
O000116,2024-01-07,C01746,P013,3,61.02,0.05,eBay,UK
O000117,2024-01-07,C01114,P038,1,28.83,0.0,Website,UK
O000118,2024-01-07,C01220,P001,2,60.77,0.0,Website,UK
O000119,2024-01-08,C01520,P030,3,36.45,0.0,eBay,FR
O000120,2024-01-08,C01816,P016,4,50.54,0.15,Website,FR
O000121,2024-01-08,C00310,P038,1,26.87,0.1,eBay,UK
O000122,2024-01-08,C00028,P005,1,64.51,0.1,Mobile app,UK
O000123,2024-01-08,C01888,P014,1,49.98,0.0,Amazon,FR
O000124,2024-01-08,C01292,P016,2,52.99,0.15,Website,NL
O000125,2024-01-08,C01543,P037,4,11.56,0.0,Mobile app,UK
O000126,2024-01-08,C00708,P013,2,58.95,0.15,eBay,UK
O000127,2024-01-08,C00546,P041,2,31.76,0.0,Website,UK
O000128,2024-01-08,C00709,P021,4,39.89,0.15,Amazon,FR
O000129,2024-01-08,C01859,P035,4,14.09,0.0,Website,UK
O000130,2024-01-08,C00398,P009,3,52.47,0.0,Mobile app,UK
O000131,2024-01-08,C00501,P011,1,52.37,0.0,Mobile app,DE
O000132,2024-01-08,C00518,P024,1,45.7,0.05,Website,UK
O000133,2024-01-08,C01361,P016,2,49.39,0.0,eBay,FR
O000134,2024-01-08,C01953,P033,2,17.81,0.0,Mobile app,UK
O000135,2024-01-09,C00924,P045,2,30.37,0.0,Mobile app,UK
O000136,2024-01-09,C01411,P019,2,40.88,0.05,Mobile app,UK
O000137,2024-01-09,C01036,P005,1,62.24,0.1,Mobile app,DE
O000138,2024-01-09,C01406,P019,1,42.29,0.0,Mobile app,FR
O000139,2024-01-09,C00525,P034,3,15.54,0.1,Mobile app,UK
O000140,2024-01-09,C01844,P029,1,33.52,0.15,Website,UK
O000141,2024-01-09,C01389,P026,2,72.44,0.05,Website,UK
O000142,2024-01-09,C01093,P021,2,37.53,0.1,Website,IT
O000143,2024-01-09,C01439,P024,1,45.16,0.1,Amazon,UK
O000144,2024-01-09,C01169,P004,2,46.79,0.05,Website,IT
O000145,2024-01-09,C01208,P028,1,63.37,0.0,Amazon,ES
O000146,2024-01-09,C01303,P030,1,33.86,0.0,eBay,UK
O000147,2024-01-09,C01756,P021,1,37.61,0.0,Website,FR
O000148,2024-01-09,C00314,P025,3,48.55,0.05,Website,UK
O000149,2024-01-10,C00262,P019,4,39.33,0.1,Website,UK
O000150,2024-01-10,C00416,P028,2,62.46,0.0,eBay,UK
O000151,2024-01-10,C00743,P035,1,14.68,0.05,Website,UK
O000152,2024-01-10,C00210,P024,3,47.73,0.0,Website,UK
O000153,2024-01-10,C01223,P032,2,27.83,0.1,Mobile app,UK
O000154,2024-01-10,C00676,P024,4,48.11,0.05,Website,UK
O000155,2024-01-10,C01595,P006,3,45.95,0.0,Mobile app,FR
O000156,2024-01-10,C00595,P034,1,15.68,0.0,Website,DE
O000157,2024-01-10,C01415,P001,1,62.79,0.1,Website,DE
O000158,2024-01-10,C01116,P015,1,53.78,0.15,Website,UK
O000159,2024-01-10,C01591,P040,1,16.75,0.0,Website,ES
O000160,2024-01-10,C01562,P044,2,26.94,0.15,Website,NL
O000161,2024-01-10,C01959,P008,2,40.92,0.0,Website,UK
O000162,2024-01-10,C01048,P041,1,29.57,0.15,eBay,UK
O000163,2024-01-10,C01109,P017,1,42.66,0.15,Website,DE
O000164,2024-01-10,C01229,P019,1,39.04,0.0,Website,IT
O000165,2024-01-10,C01103,P015,1,52.17,0.0,Website,UK
O000166,2024-01-10,C01312,P036,1,25.88,0.05,Mobile app,FR
O000167,2024-01-11,C01259,P013,3,61.19,0.0,Website,DE
O000168,2024-01-11,C01195,P016,3,50.26,0.15,Website,UK
O000169,2024-01-11,C01912,P026,4,73.65,0.15,Website,UK
O000170,2024-01-11,C00053,P037,4,12.5,0.0,Amazon,UK
O000171,2024-01-11,C01418,P020,4,57.29,0.1,eBay,DE
O000172,2024-01-11,C01347,P019,1,38.6,0.0,eBay,UK
O000173,2024-01-11,C00164,P005,1,65.46,0.0,Mobile app,FR
O000174,2024-01-11,C01569,P040,1,16.93,0.15,Website,UK
O000175,2024-01-11,C01431,P043,1,17.07,0.05,Website,DE
O000176,2024-01-11,C01940,P013,1,63.89,0.0,Website,ES
O000177,2024-01-11,C00489,P044,1,28.97,0.0,Website,DE
O000178,2024-01-12,C00653,P021,3,37.29,0.0,Website,DE
O000179,2024-01-12,C01693,P012,2,47.32,0.15,Mobile app,FR
O000180,2024-01-12,C01509,P034,2,14.76,0.1,eBay,UK
O000181,2024-01-12,C01365,P028,2,62.82,0.0,Website,FR
O000182,2024-01-12,C01311,P016,2,52.28,0.05,Mobile app,UK
O000183,2024-01-12,C01310,P009,4,49.11,0.0,Website,FR
O000184,2024-01-12,C01585,P011,1,56.86,0.0,Website,ES
O000185,2024-01-12,C01225,P040,3,16.31,0.0,Website,DE
O000186,2024-01-12,C01565,P031,1,17.75,0.0,Mobile app,UK
O000187,2024-01-12,C00917,P021,2,39.56,0.0,Website,UK
O000188,2024-01-12,C01178,P027,1,73.77,0.0,Website,UK
O000189,2024-01-12,C01156,P028,3,60.62,0.05,eBay,DE
O000190,2024-01-13,C00836,P025,1,50.12,0.15,eBay,FR
O000191,2024-01-13,C01313,P037,1,11.5,0.15,Amazon,UK
O000192,2024-01-13,C00338,P018,2,74.44,0.05,eBay,NL
O000193,2024-01-13,C00229,P004,4,47.3,0.05,Website,NL
O000194,2024-01-13,C00373,P039,2,23.1,0.0,Mobile app,FR
O000195,2024-01-13,C00253,P036,1,24.6,0.05,Website,DE
O000196,2024-01-13,C01807,P004,1,46.56,0.0,Website,NL
O000197,2024-01-13,C01005,P012,1,47.22,0.1,Mobile app,UK
O000198,2024-01-13,C01892,P023,1,44.58,0.05,Amazon,IT
O000199,2024-01-13,C00306,P008,4,44.11,0.0,Mobile app,UK
O000200,2024-01-13,C01455,P022,2,40.57,0.0,Website,UK
O000201,2024-01-13,C01843,P037,1,12.53,0.15,Mobile app,UK
O000202,2024-01-13,C00668,P004,3,47.58,0.1,Website,FR
O000203,2024-01-13,C01742,P025,2,49.38,0.05,Website,DE
O000204,2024-01-13,C00184,P012,1,48.36,0.1,Website,NL
O000205,2024-01-13,C00790,P023,2,45.36,0.15,Website,UK
O000206,2024-01-14,C01063,P039,1,24.42,0.0,Mobile app,NL
O000207,2024-01-14,C00490,P021,1,40.92,0.0,eBay,DE
O000208,2024-01-14,C00496,P004,2,46.41,0.0,Amazon,FR
O000209,2024-01-14,C01936,P026,2,71.86,0.0,Mobile app,UK
O000210,2024-01-14,C01225,P034,4,15.79,0.0,Mobile app,DE
O000211,2024-01-14,C01256,P023,4,44.23,0.1,Website,UK
O000212,2024-01-14,C00822,P041,1,30.37,0.0,Website,UK
O000213,2024-01-14,C01213,P004,3,45.7,0.0,Mobile app,UK
O000214,2024-01-14,C01543,P017,4,42.13,0.05,Mobile app,DE
O000215,2024-01-14,C01259,P029,1,33.92,0.05,Website,FR
O000216,2024-01-14,C00706,P020,3,55.91,0.0,Website,UK
O000217,2024-01-14,C01197,P002,2,68.26,0.0,Amazon,ES
O000218,2024-01-14,C01505,P001,1,58.12,0.05,Website,UK
O000219,2024-01-14,C00836,P028,1,63.47,0.0,Website,IT
O000220,2024-01-14,C00212,P016,4,52.53,0.05,Mobile app,UK
O000221,2024-01-14,C01245,P014,1,45.69,0.0,Amazon,UK
O000222,2024-01-14,C01879,P007,1,61.15,0.0,eBay,UK
O000223,2024-01-14,C01608,P008,3,42.18,0.15,Website,UK
O000224,2024-01-14,C00265,P028,1,59.79,0.0,Amazon,UK
O000225,2024-01-14,C00235,P037,2,11.53,0.0,Website,UK
O000226,2024-01-14,C00298,P041,1,30.85,0.0,eBay,UK
O000227,2024-01-14,C00273,P018,2,77.37,0.0,Mobile app,DE
O000228,2024-01-14,C01922,P034,1,15.57,0.05,eBay,FR
O000229,2024-01-14,C01906,P015,4,51.91,0.0,Mobile app,UK
O000230,2024-01-15,C00227,P003,2,40.49,0.05,Website,UK
O000231,2024-01-15,C00755,P034,3,14.78,0.15,Amazon,UK
O000232,2024-01-15,C00592,P026,2,77.53,0.05,Mobile app,ES
O000233,2024-01-15,C01351,P013,2,62.15,0.0,Website,DE
O000234,2024-01-15,C01540,P032,2,27.74,0.05,Website,FR
O000235,2024-01-15,C01962,P025,2,47.11,0.0,Mobile app,DE
O000236,2024-01-15,C01818,P004,2,46.94,0.0,Mobile app,IT
O000237,2024-01-15,C00475,P036,4,24.06,0.15,Website,UK
O000238,2024-01-15,C00175,P024,2,45.48,0.15,Website,UK
O000239,2024-01-15,C01238,P042,2,15.47,0.05,Website,UK
O000240,2024-01-15,C00527,P030,1,33.98,0.15,Website,UK
O000241,2024-01-16,C01901,P039,3,23.18,0.0,Website,UK
O000242,2024-01-16,C00879,P035,2,13.69,0.0,Website,UK
O000243,2024-01-16,C01289,P022,2,40.15,0.05,Website,UK
O000244,2024-01-16,C00418,P017,1,42.46,0.15,Website,UK
O000245,2024-01-16,C01852,P009,1,52.47,0.1,Mobile app,DE
O000246,2024-01-16,C00981,P019,4,39.4,0.0,Website,DE
O000247,2024-01-16,C01041,P015,3,54.27,0.1,Mobile app,NL
O000248,2024-01-16,C00926,P029,4,36.13,0.0,Mobile app,UK
O000249,2024-01-16,C01395,P031,1,18.07,0.0,Mobile app,FR
O000250,2024-01-16,C00963,P018,1,71.58,0.0,Mobile app,FR
O000251,2024-01-16,C00236,P031,1,17.53,0.15,Website,DE
O000252,2024-01-16,C00649,P008,1,41.99,0.0,eBay,ES
O000253,2024-01-16,C00621,P026,4,72.89,0.15,Website,UK
O000254,2024-01-16,C01619,P042,2,15.82,0.0,Mobile app,ES
O000255,2024-01-16,C00397,P041,1,30.83,0.0,eBay,FR
O000256,2024-01-16,C01142,P012,1,49.74,0.0,Website,FR
O000257,2024-01-16,C01877,P031,1,18.16,0.15,Website,FR
O000258,2024-01-16,C00176,P024,2,46.44,0.05,Amazon,ES
O000259,2024-01-16,C00999,P002,2,66.42,0.15,Mobile app,UK
O000260,2024-01-16,C01527,P034,1,15.82,0.15,eBay,UK
O000261,2024-01-17,C01458,P032,1,25.97,0.0,Website,UK
O000262,2024-01-17,C01479,P016,1,49.47,0.05,Website,UK
O000263,2024-01-17,C00146,P012,2,50.43,0.05,Website,UK
O000264,2024-01-17,C01018,P036,1,23.67,0.15,Website,UK
O000265,2024-01-17,C00035,P039,2,23.14,0.1,Website,UK
O000266,2024-01-17,C00276,P012,3,48.45,0.0,Website,FR
O000267,2024-01-17,C00853,P022,2,41.04,0.0,Website,ES
O000268,2024-01-17,C00196,P027,2,72.48,0.0,Website,UK
O000269,2024-01-17,C00800,P016,1,50.22,0.1,Amazon,DE
O000270,2024-01-17,C00272,P011,1,55.64,0.0,Mobile app,UK
O000271,2024-01-17,C01678,P003,2,43.07,0.1,Website,UK
O000272,2024-01-17,C01331,P006,4,49.45,0.15,eBay,UK
O000273,2024-01-17,C01976,P041,1,31.87,0.0,Website,UK
O000274,2024-01-17,C00035,P026,1,77.53,0.0,Website,DE
O000275,2024-01-17,C01144,P009,2,51.46,0.1,Website,FR
O000276,2024-01-18,C00638,P024,1,46.86,0.05,Website,FR
O000277,2024-01-18,C01307,P044,3,27.61,0.15,Website,DE
O000278,2024-01-18,C01856,P002,1,67.19,0.15,eBay,UK
O000279,2024-01-18,C01076,P037,1,11.42,0.05,Website,IT
O000280,2024-01-18,C00181,P037,2,12.02,0.1,Mobile app,DE
O000281,2024-01-18,C00227,P017,2,40.13,0.1,Website,UK
O000282,2024-01-18,C01470,P009,4,52.9,0.0,Amazon,UK
O000283,2024-01-18,C01478,P020,2,56.7,0.15,Website,FR
O000284,2024-01-18,C01630,P015,1,50.79,0.05,eBay,FR
O000285,2024-01-18,C00526,P027,4,77.94,0.05,Mobile app,DE
O000286,2024-01-19,C00244,P001,3,62.25,0.0,Mobile app,IT
O000287,2024-01-19,C00975,P040,2,16.14,0.05,Mobile app,DE
O000288,2024-01-19,C01543,P034,3,15.5,0.0,eBay,FR
O000289,2024-01-19,C00027,P013,4,60.76,0.05,Website,UK
O000290,2024-01-19,C00475,P025,1,47.58,0.1,Amazon,ES
O000291,2024-01-19,C01767,P026,1,75.2,0.05,eBay,DE
O000292,2024-01-19,C00512,P030,1,33.18,0.1,Mobile app,DE
O000293,2024-01-19,C01563,P043,1,15.94,0.1,Amazon,NL
O000294,2024-01-19,C00732,P045,1,29.95,0.0,Website,DE
O000295,2024-01-19,C01431,P002,1,65.75,0.0,Mobile app,UK
O000296,2024-01-19,C00154,P034,2,15.65,0.0,eBay,NL
O000297,2024-01-19,C01890,P027,3,77.78,0.0,Mobile app,IT
O000298,2024-01-19,C01749,P019,2,41.0,0.0,Website,DE
O000299,2024-01-19,C01159,P007,1,64.55,0.05,Website,UK
O000300,2024-01-19,C00297,P009,3,50.11,0.0,Website,UK
O000301,2024-01-19,C01333,P008,1,43.44,0.0,Website,IT
O000302,2024-01-19,C00308,P016,3,51.87,0.0,Website,UK
O000303,2024-01-19,C01878,P009,1,49.29,0.0,Amazon,UK
O000304,2024-01-19,C00865,P030,1,34.16,0.15,Mobile app,UK
O000305,2024-01-20,C00783,P002,1,68.86,0.15,Mobile app,IT
O000306,2024-01-20,C00590,P043,3,16.99,0.0,Website,FR
O000307,2024-01-20,C01983,P027,3,77.51,0.0,eBay,IT
O000308,2024-01-20,C00603,P014,1,48.05,0.0,Website,UK
O000309,2024-01-20,C00987,P002,3,64.46,0.0,Website,NL
O000310,2024-01-20,C01318,P042,1,15.49,0.1,Mobile app,ES
O000311,2024-01-20,C01393,P045,4,29.84,0.05,Website,UK
O000312,2024-01-20,C00927,P028,2,59.81,0.05,Website,NL
O000313,2024-01-20,C01602,P017,2,41.05,0.15,Website,DE
O000314,2024-01-20,C00797,P012,1,47.55,0.05,Website,UK
O000315,2024-01-20,C01180,P030,1,34.4,0.15,Website,DE
O000316,2024-01-20,C00497,P012,1,50.81,0.0,Mobile app,DE
O000317,2024-01-20,C00055,P027,2,73.18,0.1,Amazon,FR
O000318,2024-01-20,C00209,P045,1,29.95,0.0,Website,UK
O000319,2024-01-20,C01173,P012,2,50.47,0.0,eBay,ES
O000320,2024-01-20,C01208,P034,1,14.5,0.0,Website,FR
O000321,2024-01-20,C00084,P005,1,63.02,0.0,Mobile app,UK
O000322,2024-01-20,C01141,P008,1,40.84,0.0,Mobile app,IT
O000323,2024-01-20,C00388,P031,2,18.07,0.1,Amazon,IT
O000324,2024-01-20,C01980,P021,2,40.83,0.1,Amazon,UK
O000325,2024-01-20,C00455,P032,1,28.36,0.0,Mobile app,FR
O000326,2024-01-21,C01303,P019,1,41.54,0.15,Website,UK
O000327,2024-01-21,C01838,P002,1,65.83,0.05,Website,UK
O000328,2024-01-21,C01328,P014,2,46.32,0.05,Mobile app,UK
O000329,2024-01-21,C00573,P012,3,50.71,0.0,Amazon,UK
O000330,2024-01-21,C01929,P025,1,51.63,0.0,Website,UK
O000331,2024-01-21,C01832,P025,1,50.09,0.15,Mobile app,DE
O000332,2024-01-21,C01143,P013,1,60.7,0.15,Amazon,UK
O000333,2024-01-21,C00518,P026,3,73.83,0.1,eBay,UK
O000334,2024-01-21,C00758,P011,2,54.26,0.0,Amazon,IT
O000335,2024-01-21,C01367,P037,3,11.6,0.15,Website,FR
O000336,2024-01-21,C00067,P027,2,75.8,0.0,Mobile app,UK
O000337,2024-01-21,C00366,P019,1,39.76,0.15,Website,UK
O000338,2024-01-21,C00634,P030,1,33.04,0.05,Website,FR
O000339,2024-01-21,C01367,P040,1,15.88,0.05,Website,UK
O000340,2024-01-21,C01788,P018,1,77.63,0.1,Mobile app,DE
O000341,2024-01-21,C00453,P007,2,65.15,0.0,Website,UK
O000342,2024-01-21,C01967,P014,1,47.06,0.15,Mobile app,UK
O000343,2024-01-21,C01799,P011,1,54.96,0.05,Mobile app,DE
O000344,2024-01-21,C01982,P042,1,15.22,0.15,Mobile app,UK
O000345,2024-01-21,C00282,P023,2,46.3,0.0,Website,UK
O000346,2024-01-21,C01776,P002,3,65.75,0.0,Mobile app,NL
O000347,2024-01-21,C00936,P044,1,26.81,0.0,Website,UK
O000348,2024-01-22,C01887,P015,1,50.73,0.15,Website,DE
O000349,2024-01-22,C01756,P012,2,50.8,0.0,Mobile app,IT
O000350,2024-01-22,C00707,P029,2,35.34,0.0,Mobile app,DE
O000351,2024-01-22,C00285,P028,1,59.76,0.15,Website,DE
O000352,2024-01-22,C01826,P020,1,56.72,0.05,eBay,UK
O000353,2024-01-22,C00698,P038,3,29.09,0.1,Mobile app,UK
O000354,2024-01-22,C00552,P019,1,40.05,0.05,eBay,UK
O000355,2024-01-22,C00498,P040,2,15.54,0.05,Amazon,FR
O000356,2024-01-22,C01600,P019,1,38.85,0.1,Amazon,UK
O000357,2024-01-22,C00173,P038,1,27.16,0.15,eBay,NL
O000358,2024-01-22,C00746,P017,1,43.97,0.1,eBay,UK
O000359,2024-01-22,C01113,P005,3,63.16,0.0,Website,UK
O000360,2024-01-23,C01431,P016,1,51.95,0.0,Mobile app,UK
O000361,2024-01-23,C01332,P040,4,15.47,0.15,Website,UK
O000362,2024-01-23,C00248,P041,4,30.69,0.15,Website,UK
O000363,2024-01-23,C01551,P021,2,38.48,0.05,Website,UK
O000364,2024-01-23,C00962,P003,1,42.26,0.0,Website,UK
O000365,2024-01-23,C00099,P007,1,61.97,0.0,Website,FR
O000366,2024-01-23,C01336,P007,1,62.21,0.0,eBay,ES
O000367,2024-01-23,C00809,P044,2,27.73,0.0,Website,DE
O000368,2024-01-23,C01288,P011,1,55.09,0.0,Mobile app,IT
O000369,2024-01-23,C01324,P028,1,60.83,0.0,Amazon,UK
O000370,2024-01-23,C00760,P025,1,51.05,0.0,Mobile app,UK
O000371,2024-01-23,C01200,P028,1,62.98,0.0,eBay,NL
O000372,2024-01-23,C01052,P035,2,14.37,0.0,Mobile app,IT
O000373,2024-01-23,C00283,P001,1,60.07,0.05,eBay,UK
O000374,2024-01-23,C01995,P040,2,15.74,0.0,Website,IT
O000375,2024-01-23,C01636,P042,1,15.4,0.1,Mobile app,UK
O000376,2024-01-23,C00279,P021,4,37.92,0.0,Website,FR
O000377,2024-01-23,C00382,P034,3,15.83,0.0,Website,UK
O000378,2024-01-24,C00463,P003,2,40.27,0.1,Mobile app,IT
O000379,2024-01-24,C00259,P038,4,28.16,0.0,Website,UK
O000380,2024-01-24,C00565,P023,2,48.32,0.0,Website,UK
O000381,2024-01-24,C01095,P034,4,14.54,0.1,Mobile app,UK
O000382,2024-01-24,C00273,P017,2,43.89,0.15,Website,UK
O000383,2024-01-24,C01906,P045,4,30.92,0.0,eBay,DE
O000384,2024-01-24,C00297,P029,4,33.51,0.0,Website,UK
O000385,2024-01-24,C00604,P016,1,51.17,0.0,Website,DE
O000386,2024-01-24,C01649,P031,3,17.06,0.05,Mobile app,FR
O000387,2024-01-24,C00936,P034,1,15.04,0.0,Mobile app,DE
O000388,2024-01-24,C01732,P016,3,50.54,0.15,Website,ES
O000389,2024-01-24,C00877,P042,1,15.32,0.0,eBay,UK
O000390,2024-01-24,C00293,P040,3,15.71,0.1,Mobile app,FR
O000391,2024-01-24,C00529,P010,3,50.3,0.05,Amazon,IT
O000392,2024-01-25,C00711,P027,1,76.06,0.05,eBay,UK
O000393,2024-01-25,C00553,P041,1,30.29,0.0,Mobile app,IT
O000394,2024-01-25,C00116,P009,4,53.45,0.0,Website,UK
O000395,2024-01-25,C00811,P004,3,49.27,0.05,Amazon,UK
